edge_id,from_label,to_label,edge_type,condition,branch_option,router_outcome,source_file,line_number,confidence
edge_0043,day102_3_coras_choice,day102_3_cora_frames_missy,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day102_non_canon.rpy,588,high
edge_0044,day102_3_cora_confesses,day102_3_gideon_interrupts_controls_vance,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day102_non_canon.rpy,643,high
edge_0045,day102_3_cora_pretends_to_find_it,day102_3_gideon_interrupts_controls_vance,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day102_non_canon.rpy,713,high
edge_0046,day102_3_cora_frames_missy,day102_3_gideon_interrupts_controls_vance,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day102_non_canon.rpy,771,high
edge_0047,day102_3_gideon_interrupts_controls_vance,day102_4_night,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day102_non_canon.rpy,1004,high
edge_0048,day102_4_night,check_confrontations,penance,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day102_non_canon.rpy,1016,high
edge_0049,day102_4_night,day102_4_cora_writes_a_chapter,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day102_non_canon.rpy,1039,high
edge_0050,day102_4_night,day102_4_cora_sneaks_a_feel,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day102_non_canon.rpy,1044,high
edge_0051,day102_4_cora_writes_a_chapter,book1_write_chapter,call,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day102_non_canon.rpy,1074,medium
edge_0052,day102_4_cora_writes_a_chapter,book1_write_chapter,call,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day102_non_canon.rpy,1120,medium
edge_0053,day102_4_cora_writes_a_chapter,router:end_slot,router,,,d2_write_night,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day102_non_canon.rpy,1138,high
edge_0054,day102_4_cora_sneaks_a_feel,router:end_slot,router,,,d2_write_night,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day102_non_canon.rpy,1193,high
edge_0055,day103_morning,game_over_deadline_1,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,49,high
edge_0056,day103_morning,check_confrontations,penance,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,57,high
edge_0057,day103_morning,day103_1_servants_corridor,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,60,high
edge_0058,day103_1_servants_corridor,day103_1_corridor_insp_chain,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,127,high
edge_0059,day103_1_servants_corridor,day103_1_corridor_corr_chain,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,132,high
edge_0060,day103_1_corridor_insp_chain,day103_1_optional_character_chain,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,167,high
edge_0061,day103_1_corridor_corr_chain,day103_1_optional_character_chain,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,207,high
edge_0062,day103_1_optional_character_chain,dynamic:story.resolve_chain_label(character),jump_expression,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,226,low
edge_0063,day103_1_optional_character_chain,dynamic:story.resolve_chain_label(character),jump_expression,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,232,low
edge_0064,day103_1_optional_character_chain,dynamic:story.resolve_chain_label(character),jump_expression,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,238,low
edge_0065,day103_1_optional_character_chain,day103_2_suite_gideon_tea,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,251,high
edge_0066,day103_2_suite_gideon_tea,day103_2_suite_cora_vs_gideon,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,310,high
edge_0067,day103_2_suite_cora_vs_gideon,day103_2_cora_vs_gideon_insp,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,351,high
edge_0068,day103_2_suite_cora_vs_gideon,day103_2_cora_vs_gideon_corr,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,356,high
edge_0069,day103_2_suite_cora_vs_gideon,day103_2_cora_vs_gideon_ghost,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,361,high
edge_0070,day103_2_cora_vs_gideon_insp,day103_2_suite_gideon_beat,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,413,high
edge_0071,day103_2_cora_vs_gideon_corr,day103_2_suite_gideon_beat,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,471,high
edge_0072,day103_2_cora_vs_gideon_ghost,day103_2_suite_gideon_beat,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,519,high
edge_0073,day103_2_suite_gideon_beat,day103_3_bedroom_cora_frantic_writing_event,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,595,high
edge_0074,day103_3_bedroom_cora_frantic_writing_event,check_confrontations,penance,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,608,high
edge_0075,day103_3_bedroom_cora_frantic_writing_event,day103_3_frantic_write,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,636,high
edge_0076,day103_3_bedroom_cora_frantic_writing_event,day103_3_prepare_mask,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,641,high
edge_0077,day103_3_bedroom_cora_frantic_writing_event,day103_3_indulge_words,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,646,high
edge_0078,day103_3_frantic_write,day103_4_room_stern_suspicion,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,681,high
edge_0079,day103_3_prepare_mask,day103_4_room_stern_suspicion,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,712,high
edge_0080,day103_3_indulge_words,day103_4_room_stern_suspicion,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,744,high
edge_0081,day103_4_room_stern_suspicion,day103_2_suite_night_tea,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,855,high
edge_0082,day103_2_suite_night_tea,day103_2_night_defy_gideon,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,938,high
edge_0083,day103_2_suite_night_tea,day103_2_night_bargain_gideon,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,943,high
edge_0084,day103_2_suite_night_tea,day103_2_night_surrender_gideon,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,948,high
edge_0085,day103_2_night_defy_gideon,day103_3_bedroom_final_write,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,997,high
edge_0086,day103_2_night_bargain_gideon,day103_3_bedroom_final_write,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,1056,high
edge_0087,day103_2_night_surrender_gideon,day103_3_bedroom_final_write,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,1107,high
edge_0088,day103_3_bedroom_final_write,check_confrontations,penance,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,1117,high
edge_0089,day103_3_bedroom_final_write,book1_write_chapter,call,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,1177,medium
edge_0090,day103_3_bedroom_final_write,day104_1,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,1220,high
edge_0091,day104_1,day104_1_false_dawn_suite_window,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day103_non_canon.rpy,1231,high
edge_0092,day104_1_false_dawn_suite_window,day104_1_lockbox_evidence,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day104_non_canon.rpy,103,high
edge_0093,day104_1_lockbox_evidence,day104_2_return_early,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day104_non_canon.rpy,151,high
edge_0094,day104_2_return_early,day104_2_escape_fireplace,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day104_non_canon.rpy,185,high
edge_0095,day104_2_return_early,day104_2_escape_bold_lie,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day104_non_canon.rpy,190,high
edge_0096,day104_2_return_early,day104_2_escape_missy_cover,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day104_non_canon.rpy,195,high
edge_0097,day104_2_escape_fireplace,day104_3_stern_pressure,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day104_non_canon.rpy,255,high
edge_0098,day104_2_escape_bold_lie,day104_3_stern_pressure,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day104_non_canon.rpy,336,high
edge_0099,day104_2_escape_missy_cover,day104_3_stern_pressure,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day104_non_canon.rpy,438,high
edge_0100,day104_3_stern_pressure,day104_4_twilight_ledger_false_dawn,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day104_non_canon.rpy,545,high
edge_0101,day104_4_twilight_ledger_false_dawn,check_confrontations,penance,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day104_non_canon.rpy,555,high
edge_0102,day104_4_twilight_ledger_false_dawn,day104_4_atonement,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day104_non_canon.rpy,584,high
edge_0103,day104_4_twilight_ledger_false_dawn,day104_5_triumphant_chapter,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day104_non_canon.rpy,589,high
edge_0104,day104_4_twilight_ledger_false_dawn,day104_4_twilight_ledger_false_dawn,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day104_non_canon.rpy,596,high
edge_0105,day104_4_twilight_ledger_false_dawn,day104_4_missy_repair,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day104_non_canon.rpy,601,high
edge_0106,day104_4_atonement,day104_6_false_dawn_ending,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day104_non_canon.rpy,649,high
edge_0107,day104_4_missy_repair,day104_6_false_dawn_ending,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day104_non_canon.rpy,739,high
edge_0108,day104_5_triumphant_chapter,check_confrontations,penance,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day104_non_canon.rpy,749,high
edge_0109,day104_5_triumphant_chapter,book1_write_chapter,call,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day104_non_canon.rpy,859,medium
edge_0110,day104_5_triumphant_chapter,day104_6_false_dawn_ending,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day104_non_canon.rpy,870,high
edge_0111,day104_6_false_dawn_ending,game_over_deadline_2,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day104_non_canon.rpy,910,high
edge_0112,day104_6_false_dawn_ending,day105_1_monster_reemerges,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day104_non_canon.rpy,912,high
edge_0113,day105_1_monster_reemerges,day105_2_the_summons,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day105_non_canon.rpy,106,high
edge_0114,day105_2_the_summons,day105_3_leverage_collapses,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day105_non_canon.rpy,186,high
edge_0115,day105_3_leverage_collapses,day105_4_why_did_you_do_it,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day105_non_canon.rpy,304,high
edge_0116,day105_4_why_did_you_do_it,day105_4_motivation_observer,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day105_non_canon.rpy,350,high
edge_0117,day105_4_why_did_you_do_it,day105_4_motivation_predator,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day105_non_canon.rpy,355,high
edge_0118,day105_4_why_did_you_do_it,day105_4_motivation_prey,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day105_non_canon.rpy,360,high
edge_0119,day105_4_why_did_you_do_it,day105_4_motivation_ghost,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day105_non_canon.rpy,365,high
edge_0120,day105_4_motivation_observer,day105_5_gideon_marks_cora,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day105_non_canon.rpy,412,high
edge_0121,day105_4_motivation_predator,day105_5_gideon_marks_cora,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day105_non_canon.rpy,460,high
edge_0122,day105_4_motivation_prey,day105_5_gideon_marks_cora,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day105_non_canon.rpy,506,high
edge_0123,day105_4_motivation_ghost,day105_5_gideon_marks_cora,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day105_non_canon.rpy,550,high
edge_0124,day105_5_gideon_marks_cora,day105_6_manuscript_reckoning,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day105_non_canon.rpy,744,high
edge_0125,day105_6_manuscript_reckoning,book1_write_chapter,call,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day105_non_canon.rpy,870,medium
edge_0126,day105_6_manuscript_reckoning,day105_7_release_one_ending,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day105_non_canon.rpy,879,high
edge_0127,test_day2_writing_harness,test_day2_render_book1_day2_predator,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/test_day2_writing_non_canon.rpy,32,high
edge_0128,test_day2_writing_harness,test_day2_render_book1_day2_ghost,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/test_day2_writing_non_canon.rpy,37,high
edge_0129,test_day2_writing_harness,test_day2_render_book1_day2_prey,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/test_day2_writing_non_canon.rpy,42,high
edge_0130,test_day2_writing_harness,test_book1_render_day1_chapter,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/test_day2_writing_non_canon.rpy,47,high
edge_0131,test_day2_writing_harness,test_book1_render_day3_chapter,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/test_day2_writing_non_canon.rpy,52,high
edge_0132,test_day2_writing_harness,test_book1_render_day4_triumphant_chapter,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/test_day2_writing_non_canon.rpy,57,high
edge_0133,test_day2_writing_harness,test_book1_render_day5_reckoning_chapter,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/test_day2_writing_non_canon.rpy,62,high
edge_0134,test_day2_render_book1_day2_predator,book1_write_chapter,call,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/test_day2_writing_non_canon.rpy,89,medium
edge_0135,test_day2_render_book1_day2_ghost,book1_write_chapter,call,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/test_day2_writing_non_canon.rpy,109,medium
edge_0136,test_day2_render_book1_day2_prey,book1_write_chapter,call,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/test_day2_writing_non_canon.rpy,128,medium
edge_0137,test_book1_render_day1_chapter,book1_write_chapter,call,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/test_day2_writing_non_canon.rpy,140,medium
edge_0138,test_book1_render_day3_chapter,book1_write_chapter,call,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/test_day2_writing_non_canon.rpy,155,medium
edge_0139,test_book1_render_day4_triumphant_chapter,book1_write_chapter,call,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/test_day2_writing_non_canon.rpy,172,medium
edge_0140,test_book1_render_day5_reckoning_chapter,book1_write_chapter,call,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/test_day2_writing_non_canon.rpy,190,medium
edge_0141,check_confrontations,game_over_dismissed,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/shared/story_chains_non_canon.rpy,29,high
edge_0142,check_confrontations,confrontation_stern,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/shared/story_chains_non_canon.rpy,36,high
edge_0143,check_confrontations,confrontation_vance,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/shared/story_chains_non_canon.rpy,40,high
edge_0144,check_confrontations,confrontation_missy,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/shared/story_chains_non_canon.rpy,44,high
edge_0145,advance_after_confrontation,dynamic:_target[2],jump_expression,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/shared/story_chains_non_canon.rpy,59,low
edge_0146,stern_chain_1,advance_after_confrontation,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/shared/story_chains_non_canon.rpy,131,high
edge_0147,stern_chain_2,advance_after_confrontation,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/shared/story_chains_non_canon.rpy,196,high
edge_0148,stern_chain_3,advance_after_confrontation,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/shared/story_chains_non_canon.rpy,267,high
edge_0149,missy_chain_1,advance_after_confrontation,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/shared/story_chains_non_canon.rpy,336,high
edge_0150,missy_chain_2,advance_after_confrontation,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/shared/story_chains_non_canon.rpy,399,high
edge_0151,missy_chain_3,advance_after_confrontation,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/shared/story_chains_non_canon.rpy,468,high
edge_0152,vance_chain_1,advance_after_confrontation,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/shared/story_chains_non_canon.rpy,529,high
edge_0153,vance_chain_2,advance_after_confrontation,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/shared/story_chains_non_canon.rpy,590,high
edge_0154,vance_chain_3,advance_after_confrontation,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/shared/story_chains_non_canon.rpy,651,high
edge_0155,confrontation_stern,advance_after_confrontation,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/shared/story_chains_non_canon.rpy,693,high
edge_0156,confrontation_vance,advance_after_confrontation,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/shared/story_chains_non_canon.rpy,731,high
edge_0157,confrontation_missy,advance_after_confrontation,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/shared/story_chains_non_canon.rpy,771,high
edge_0158,end_slot,day104_6_false_dawn_ending,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/shared/story_chains_non_canon.rpy,799,high
